id_name,sinner,rarity,season
The House of Spiders: The Index Nursefather Yi Sang,Yi Sang,000,7
The Index Proselyte:【Paper Slip】Faust,Faust,000,7
The House of Spiders: The Ring Apprentice Faust,Faust,000,7
The Index Proxy - Effloresced E.G.O::Procuration Don Quixote,Don Quixote,000,7
Lobotomy E.G.O::Faint Aroma & Solitude Ryōshū,Ryoshu,000,7
Blade of the House of Spiders Ryōshū,Ryoshu,000,7
Lobotomy E.G.O::Hornet【Alteration】Meursault,Meursault,000,7
The Ring Fauvist Student Meursault,Meursault,000,7
The House of Spiders: The Ring Nursefather Hong Lu,Hong Lu,000,7
The Middle Big Brother Heathcliff,Heathcliff,000,7
The House of Spiders: The Middle Apprentice Ishmael,Ishmael,000,7
The Ring Fauvist Docent Rodion,Rodion,000,7
The House of Spiders: The Pinky Apprentice Sinclair,Sinclair,000,7
LCA Udjat Vanguard Team 3 Leader Outis,Outis,None,7
Lobotomy E.G.O::Lamp Gregor,Gregor,000,7
LCE E.G.O::AEDD Gregor,Gregor,000,7
