id_name,sinner,rarity,season
LCB Sinner,Yi Sang,0,1
Seven Assoc. South Section 6,Yi Sang,00,1
Molar Office Fixer,Yi Sang,00,2
The Pequod First,Yi Sang,00,3
Dieci Assoc. South Section 4,Yi Sang,00,3
LCE E.G.O::Lantern,Yi Sang,00,5
Blade Lineage Salsu,Yi Sang,000,1
Effloresced E.G.O::Spicebush,Yi Sang,000,2
W Corp. L3 Cleanup Agent,Yi Sang,000,2
The Ring Pointillist Student,Yi Sang,000,4
Lobotomy E.G.O::Solemn Lament,Yi Sang,000,4
Liu Assoc. South Section 3,Yi Sang,000,5
N Corp. E.G.O::Fell Bullet,Yi Sang,000,6
Heishou Pack - Wu Branch Adept,Yi Sang,000,6
The House of Spiders: The Index Nursefather,Yi Sang,000,7
,,,
LCB Sinner,Faust,0,1
W Corp. L2 Cleanup Agent,Faust,00,1
Lobotomy Corp. Remnant,Faust,00,1
Zwei Assoc. South Section 4,Faust,00,2
Wuthering Heights Butler,Faust,00,4
The One Who Grips,Faust,000,1
Seven Assoc. South Section 4,Faust,000,2
Lobotomy E.G.O::Regret,Faust,000,2
Blade Lineage Salsu,Faust,000,3
MultiCrack Office Rep,Faust,000,4
LCE E.G.O::Ardor Blossom Star,Faust,000,5
Heishou Pack - Mao Branch Adept,Faust,000,6
Shi Assoc. East Section 3,Faust,000,6
The Index Proselyte:【Paper Slip】,Faust,000,7
The House of Spiders: The Ring Apprentice,Faust,000,7
,,,
LCB Sinner,Don Quixote,0,1
Shi Assoc. South Section 5 Director,Don Quixote,00,1
N Corp. Mittelhammer,Don Quixote,00,1
Lobotomy E.G.O::Lantern,Don Quixote,00,3
Blade Lineage Salsu Don Quixote,Don Quixote,00,3
W Corp. L3 Cleanup Agent,Don Quixote,000,1
Cinq Assoc. South Section 5 Director,Don Quixote,000,2
The Middle Little Sister,Don Quixote,000,3
T Corp. Class 3 Collection Staff,Don Quixote,000,4
The Manager of La Manchaland,Don Quixote,000,5
Cinq Assoc. East Section 3,Don Quixote,000,5
Lobotomy E.G.O::In the Name of Love and Hate,Don Quixote,000,6
Heishou Pack - Wei Branch,Don Quixote,000,6
The Index Proxy - Effloresced E.G.O::Procuration Don Quixote,Don Quixote,000,7
,,,
LCB Sinner,Ryoshu,0,1
Seven Assoc. South Section 6,Ryoshu,00,1
LCCB Assistant Manager,Ryoshu,00,3
Liu Assoc. South Section 4,Ryoshu,00,3
District 20 Yurodivy Ryōshū,Ryoshu,00,4
Kurokumo Clan Wakashu,Ryoshu,000,1
R.B. Chef de Cuisine,Ryoshu,000,1
W Corp. L3 Cleanup Agent,Ryoshu,000,2
Edgar Family Chief Butler,Ryoshu,000,3
Lobotomy E.G.O::Red Eyes & Penitence,Ryoshu,000,4
Heishou Pack - Mao Branch,Ryoshu,000,5
"N Corp. E.G.O::Contempt, Awe",Ryoshu,000,6
Drifting Blade of Hongyuan,Ryoshu,000,6
Lobotomy E.G.O::Faint Aroma & Solitude Ryōshū,Ryoshu,000,7
Blade of the House of Spiders Ryōshū,Ryoshu,000,7
,,,
LCB Sinner,Meursault,0,1
Liu Assoc. South Section 6,Meursault,00,1
Rosespanner Workshop Fixer,Meursault,00,2
The Middle Little Brother,Meursault,00,3
Dead Rabbits Boss,Meursault,00,4
W Corp. L2 Cleanup Agent,Meursault,000,1
N Corp. Großhammer,Meursault,000,1
R Corp. 4th Pack Rhino,Meursault,000,2
Blade Lineage Mentor,Meursault,000,3
Dieci Assoc. South Section 4 Director,Meursault,000,4
Cinq Assoc. West Section 3,Meursault,000,5
The Thumb East Capo IIII,Meursault,000,6
The Prince of La Manchaland,Meursault,000,6
Lobotomy E.G.O::Hornet【Alteration】Meursault,Meursault,000,7
The Ring Fauvist Student Meursault,Meursault,000,7
,,,
LCB Sinner,Hong Lu,0,1
Kurokumo Clan Wakashu,Hong Lu,00,1
Liu Assoc. South Section 5,Hong Lu,00,1
W Corp. L2 Cleanup Agent,Hong Lu,00,2
Hook Office Fixer,Hong Lu,00,2
Fanghunt Office Fixer,Hong Lu,00,5
Tingtang Gang Gangleader,Hong Lu,000,1
K Corp. Class 3 Excision Staff,Hong Lu,000,2
Dieci Assoc. South Section 4,Hong Lu,000,3
District 20 Yurodivy,Hong Lu,000,4
Full-Stop Office Rep,Hong Lu,000,5
R Corp. 4th Pack Reindeer,Hong Lu,000,5
The Lord of Hongyuan,Hong Lu,000,6
The House of Spiders: The Ring Nursefather Hong Lu,Hong Lu,000,7
,,,
LCB Sinner,Heathcliff,0,1
Shi Assoc. South Section 5,Heathcliff,00,1
N Corp. Kleinhammer,Heathcliff,00,1
Seven Assoc. South Section 4,Heathcliff,00,2
MultiCrack Office Fixer,Heathcliff,00,4
R Corp. 4th Pack Rabbit,Heathcliff,000,1
Lobotomy E.G.O::Sunshower,Heathcliff,000,2
The Pequod Harpooneer,Heathcliff,000,3
Öufi Assoc. South Section 3,Heathcliff,000,3
Wild Hunt,Heathcliff,000,4
Full-Stop Office Fixer,Heathcliff,000,5
Kurokumo Clan Wakashu,Heathcliff,000,5
W Corp. L4 Cleanup Agent - CCA,Heathcliff,000,6
Heishou Pack - You Branch Adept,Heathcliff,000,6
The Middle Big Brother Heathcliff,Heathcliff,000,7
,,,
LCB Sinner,Ishmael,0,1
Shi Assoc. South Section 5,Ishmael,00,1
LCCB Assistant Manager,Ishmael,00,1
Lobotomy E.G.O::Sloshing,Ishmael,00,2
Edgar Family Butler,Ishmael,00,4
R Corp. 4th Pack Reindeer,Ishmael,000,1
Liu Assoc. South Section 4,Ishmael,000,2
Molar Boatworks Fixer,Ishmael,000,2
The Pequod Captain,Ishmael,000,3
Zwei Assoc. West Section 3,Ishmael,000,4
Kurokumo Clan Captain,Ishmael,000,5
Family Hierarch Candidate,Ishmael,000,6
Jeong's Office Rep,Ishmael,000,6
The House of Spiders: The Middle Apprentice Ishmael,Ishmael,000,7
,,,
LCB Sinner,Rodion,0,1
LCCB Assistant Manager,Rodion,00,1
N Corp. Mittelhammer,Rodion,00,1
Zwei Assoc. South Section 5,Rodion,00,2
T Corp. Class 2 Collection Staff,Rodion,00,4
Kurokumo Clan Wakashu,Rodion,000,1
Rosespanner Workshop Rep,Rodion,000,2
Dieci Assoc. South Section 4,Rodion,000,2
Liu Assoc. South Section 4 Director,Rodion,000,3
Devyat' Assoc. North Section 3,Rodion,000,4
The Princess of La Manchaland,Rodion,000,5
Heishou Pack - Si Branch,Rodion,000,6
Lobotomy E.G.O::The Sword Sharpened with Tears,Rodion,000,6
R Corp. 4th Pack Reindeer,Rodion,000,6
The Ring Fauvist Docent Rodion,Rodion,000,7
,,,
LCB Sinner,Sinclair,0,1
Zwei Assoc. South Section 6,Sinclair,00,1
Los Mariachis Jefe,Sinclair,00,1
Lobotomy E.G.O::Red Sheet,Sinclair,00,2
Molar Boatworks Fixer,Sinclair,00,2
Zwei Assoc. West Section 3,Sinclair,00,5
Blade Lineage Salsu,Sinclair,000,1
The One Who Shall Grip,Sinclair,000,1
Cinq Assoc. South Section 4 Director,Sinclair,000,3
Dawn Office Fixer,Sinclair,000,4
Devyat' Assoc. North Section 3,Sinclair,000,5
The Middle Little Brother,Sinclair,000,5
The Thumb East Soldato II,Sinclair,000,6
Heishou Pack - You Branch,Sinclair,000,6
The House of Spiders: The Pinky Apprentice Sinclair,Sinclair,000,7
,,,
LCB Sinner,Outis,0,1
Blade Lineage Salsu,Outis,00,1
G Corp. Head Manager,Outis,00,1
Cinq Assoc. South Section 4,Outis,00,3
The Ring Pointillist Student,Outis,00,4
Seven Assoc. South Section 6,Outis,000,1
Molar Office Fixer,Outis,000,2
Lobotomy E.G.O::Magic Bullet,Outis,000,3
Wuthering Heights Chief Butler,Outis,000,4
W Corp. L3 Cleanup Captain,Outis,000,4
The Barber of La Manchaland,Outis,000,5
Heishou Pack - Mao Branch,Outis,000,5
T Corp. Class 3 VDCU Staff,Outis,000,6
LCA Udjat Vanguard Team 3 Leader Outis,Outis,000,7
The House of Spiders - The Middle Nursefather,Outis,000,7
,,,
LCB Sinner,Gregor,0,1
Liu Assoc. South Section 6,Gregor,00,1
R.B. Sous-chef,Gregor,00,1
Rosespanner Workshop Fixer,Gregor,00,2
Kurokumo Clan Captain,Gregor,00,3
G Corp. Manager Corporal,Gregor,000,1
Zwei Assoc. South Section 4,Gregor,000,2
